Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
130,10126,51,2,1,0,36,0,0,0,51,2,44.7444,44.2031
22,10140,41,0,1,0,5,0,1,0,41,0,-5.29,-44.49
75,10163,66,2,1,0,39,0,2,0,66,2,37.1667,15.1833
123,10185,34,0,1,0,34,0,0,0,20,0,53.0167,20.8833
166,10243,54,2,1,0,14,0,11,0,54,2,16.1005,-88.8074
15,10264,64,2,1,0,29,0,7,0,64,2,51.0761,4.2803
130,10269,54,2,1,0,41,0,1,0,54,2,44.05,43.0667
33,10286,68,2,2,0,68,1,1,0,58,2,21.95,108.6167
109,10340,41,0,1,0,24,0,6,0,41,0,52.3833,6.2667
54,10369,59,2,1,0,30,0,4,0,59,2,50.3892,3.4858
75,10375,55,2,1,0,47,0,0,0,55,2,37.3833,14.7
166,9796,72,2,1,0,4,0,23,0,72,2,33.5722,-112.0892
123,9810,28,0,1,0,28,0,2,0,28,0,52.0667,21.0167
22,9856,154,3,5,0,0,0,13,0,154,3,-22.5128,-44.0008
34,9918,67,2,1,0,16,0,2,0,67,2,9.7919,-74.7872
129,9950,62,2,1,0,37,0,1,0,62,2,43.9333,23.0833
130,9964,31,0,1,0,31,0,0,0,17,0,56.45,60.1833
54,9999,56,2,1,0,35,0,0,0,56,2,46.9061,6.3547
166,10006,77,2,2,0,22,0,15,0,77,2,42.6493,-83.2878
70,10007,44,0,1,0,15,0,0,0,44,0,-0.0206,109.3414
22,10025,30,0,1,0,9,0,2,0,30,0,-22.7558,-51.3789
53,10026,30,0,1,0,30,0,1,0,15,0,61.4833,21.8
144,10041,79,2,3,0,18,0,5,0,79,2,-33.9581,25.6
166,10053,34,0,1,0,19,0,7,0,34,0,29.9765,-93.9459
164,10058,51,2,1,0,20,0,5,0,51,2,51.5906,-3.7986
166,10064,77,2,1,0,34,0,0,0,77,2,34.1754,-103.3565
166,10095,61,2,1,0,32,0,3,0,61,2,47.7213,-116.9384
22,10106,32,0,1,0,7,0,2,0,32,0,-22.2281,-45.9336
130,3104,29,0,0,0,29,0,0,0,25,0,44.55,135.5833
69,3135,247,5,3,0,162,2,1,0,247,5,26.17,85.9
166,3168,45,0,1,0,32,0,7,0,45,0,39.7805,-84.2003
15,3196,36,0,1,0,25,0,3,0,36,0,50.9833,3.5333
65,3209,124,4,2,0,15,0,5,0,124,4,18.55,-72.3
166,3215,72,2,1,0,26,0,2,0,72,2,32.2631,-107.7525
164,3228,55,2,0,0,32,0,1,0,55,2,33.2175,-97.1418
166,3251,31,0,0,0,31,0,0,0,25,0,30.395,-86.4701
69,3270,60,2,1,0,31,0,1,0,60,2,12.127,78.158
122,3322,30,0,1,0,17,0,0,0,30,0,8.5872,123.3408
85,3341,44,0,1,0,34,0,0,0,44,0,56.6167,23.2667
166,4523,47,0,1,0,37,0,4,0,47,0,42.9004,-85.7564
109,4536,37,0,0,0,32,0,2,0,37,0,51.7667,5.7333
166,4551,44,0,1,0,14,0,8,0,44,0,31.8393,-111.0009
166,4554,58,2,2,0,14,0,24,0,58,2,42.9371,-88.0018
34,4626,89,2,3,0,3,0,6,0,89,2,4.0833,-74.9167
75,4645,52,2,2,0,38,0,7,0,52,2,42.2,14.2167
164,4675,51,2,1,0,25,0,6,0,51,2,51.2365,-0.5703
130,4685,38,0,1,0,38,0,0,0,13,0,48.05,39.9167
166,4899,88,2,2,0,11,0,20,0,88,2,38.7931,-90.3899
58,4906,54,2,1,0,31,0,3,0,54,2,49.5053,8.6033
